date,temperatureTreatment,foodTreatment,growthStage,totalLength,midbodyLength,bodyWidth,postoralArmLength,foodInGut,treatmentID,pictureID,notes,
2019-01-11,none,none,gastrula,297,NA,NA,NA,NA,NA,BROOD-STOCK_20190111_01-01.tiff,measured length is diameter,
2019-01-11,none,none,gastrula,335,NA,NA,NA,NA,NA,BROOD-STOCK_20190111_01-02.tiff,measured length is diameter,
2019-01-11,none,none,gastrula,324,NA,NA,NA,NA,NA,BROOD-STOCK_20190111_01-03.tiff,measured length is diameter,
2019-01-11,none,none,gastrula,326,NA,NA,NA,NA,NA,BROOD-STOCK_20190111_01-04.tiff,measured length is diameter,
2019-01-11,none,none,gastrula,310,NA,NA,NA,NA,NA,BROOD-STOCK_20190111_01-05.tiff,measured length is diameter,
2019-01-11,none,none,gastrula,324,NA,NA,NA,NA,NA,BROOD-STOCK_20190111_01-06.tiff,measured length is diameter,
2019-01-11,none,none,gastrula,330,NA,NA,NA,NA,NA,BROOD-STOCK_20190111_01-07.tiff,measured length is diameter,
2019-01-14,cold,Isochrysis,gastrula,287,NA,NA,NA,NA,C-ISGA-5,C-ISGA-5_20190114_01-02.tiff,measured length is diameter,
2019-01-14,cold,Isochrysis,gastrula,274,NA,NA,NA,NA,C-ISGA-5,C-ISGA-5_20190114_02-03.tiff,measured length is diameter,
2019-01-14,cold,Isochrysis,gastrula,292,NA,NA,NA,NA,C-ISGA-5,C-ISGA-5_20190114_03-01.tiff,measured length is diameter,
2019-01-14,cold,Rhodomonas,gastrula,300,NA,NA,NA,NA,C-RHLE-6,C-RHLE-6_20190114_01-02.tiff,measured length is diameter,
2019-01-14,cold,Rhodomonas,gastrula,294,NA,NA,NA,NA,C-RHLE-6,C-RHLE-6_20190114_02-02.tiff,measured length is diameter,
2019-01-14,cold,Rhodomonas,gastrula,280,NA,NA,NA,NA,C-RHLE-6,C-RHLE-6_20190114_03-02.tiff,measured length is diameter,
2019-01-14,warm,Isochrysis,early-pluteus,649,468,420,262,no,H-ISGA-6,H-ISGA-6_20190114_01-03.tiff,,
2019-01-14,warm,Isochrysis,early-pluteus,672,490,370,269,no,H-ISGA-6,H-ISGA-6_20190114_02-03.tiff,,
2019-01-14,warm,Isochrysis,early-pluteus,641,467,330,224,no,H-ISGA-6,H-ISGA-6_20190114_03-01.tiff,,
2019-01-14,warm,Rhodomonas,early-pluteus,583,410,372,208,no,H-RHLE-5,H-RHLE-5_20190114_01-04.tiff,,
2019-01-14,warm,Rhodomonas,early-pluteus,612,527,332,214,no,H-RHLE-5,H-RHLE-5_20190114_02-02.tiff,,
2019-01-14,warm,Rhodomonas,early-pluteus,697,563,386,284,no,H-RHLE-5,H-RHLE-5_20190114_03-02.tiff,,
2019-01-16,cold,Isochrysis,early-pluteus,502,405,266,153,no,C-ISGA-4,C-ISGA-4_20190116_01-04.tiff,,
2019-01-16,cold,Isochrysis,early-pluteus,532,448,235,175,no,C-ISGA-4,C-ISGA-4_20190116_02-04.tiff,,
2019-01-16,cold,Isochrysis,early-pluteus,546,458,286,166,yes,C-ISGA-4,C-ISGA-4_20190116_03-01.tiff,,
2019-01-16,cold,Rhodomonas,early-pluteus,492,392,264,135,no,C-RHLE-3,C-RHLE-3_20190116_01-03.tiff,,"may be underestimated values (larva at slight angle, z axis)"
2019-01-16,cold,Rhodomonas,early-pluteus,459,397,269,118,no,C-RHLE-3,C-RHLE-3_20190116_02-02.tiff,,
2019-01-16,cold,Rhodomonas,early-pluteus,459,380,257,92,no,C-RHLE-3,C-RHLE-3_20190116_03-06.tiff,,
2019-01-16,warm,Isochrysis,early-pluteus,684,617,398,302,yes,H-ISGA-3,H-ISGA-3_20190116_01-03.tiff,,
2019-01-16,warm,Isochrysis,early-pluteus,765,577,451,353,yes,H-ISGA-3,H-ISGA-3_20190116_02-04.tiff,,
2019-01-16,warm,Isochrysis,early-pluteus,734,620,468,281,no,H-ISGA-3,H-ISGA-3_20190116_03-05.tiff,,
2019-01-16,warm,Rhodomonas,early-pluteus,804,641,389,342,yes,H-RHLE-4,H-RHLE-4_20190116_01-03.tiff,,
2019-01-16,warm,Rhodomonas,early-pluteus,732,612,379,319,yes,H-RHLE-4,H-RHLE-4_20190116_02-02.tiff,,
2019-01-16,warm,Rhodomonas,early-pluteus,756,631,380,329,yes,H-RHLE-4,H-RHLE-4_20190116_03-02.tiff,,
2019-01-18,cold,Isochrysis,early-pluteus,689,594,275,277,no,C-ISGA-1,C-ISGA-1_20190118_01-03.tiff,,
2019-01-18,cold,Isochrysis,early-pluteus,560,466,259,176,no,C-ISGA-1,C-ISGA-1_20190118_02-04.tiff,,
2019-01-18,cold,Isochrysis,early-pluteus,632,503,236,260,yes,C-ISGA-1,C-ISGA-1_20190118_03-01.tiff,,
2019-01-18,cold,Rhodomonas,early-pluteus,647,552,304,251,yes,C-RHLE-2,C-RHLE-2_20190118_01-01.tiff,,
2019-01-18,cold,Rhodomonas,early-pluteus,513,437,340,155,no,C-RHLE-2,C-RHLE-2_20190118_02-03.tiff,,
2019-01-18,cold,Rhodomonas,early-pluteus,523,453,331,172,no,C-RHLE-2,C-RHLE-2_20190118_03-03.tiff,,
2019-01-18,warm,Isochrysis,early-pluteus,592,492,282,215,yes,H-ISGA-1,H-ISGA-1_20190118_01-03.tiff,,
2019-01-18,warm,Isochrysis,early-pluteus,596,524,308,190,yes,H-ISGA-1,H-ISGA-1_20190118_02-03.tiff,,
2019-01-18,warm,Isochrysis,early-pluteus,576,537,374,187,yes,H-ISGA-1,H-ISGA-1_20190118_03-04.tiff,,
2019-01-18,warm,Rhodomonas,early-pluteus,725,605,402,301,yes,H-RHLE-2,H-RHLE-2_20190118_01-01.tiff,,
2019-01-18,warm,Rhodomonas,early-pluteus,883,683,574,456,yes,H-RHLE-2,H-RHLE-2_20190118_02-07.tiff,,
2019-01-18,warm,Rhodomonas,early-pluteus,892,757,548,408,yes,H-RHLE-2,H-RHLE-2_20190118_03-03.tiff,,
